time_E Nt_E LCL_E median_E UCL_E	time_W Nt_W LCL_W median_W UCL_W
0 14034503.992087 13073338.1848561 13688262.8783359 14127208.596011	0 23311167.5982047 20185682.9899731 21623932.5583128 23062480.2926694
1000 14470083.4207136 13570596.2182569 14199548.9976101 14524533.803462	1000 23673041.9727532 20677039.7399352 21705677.1631622 23455677.2251258
2000 14923206.4205223 13985128.0858002 14720657.2108415 15077585.4406811	2000 24042680.8495268 21156216.1867563 22044530.2573045 23872359.2197081
3000 15394600.3159951 14414000.6580323 15181814.8935497 15718225.088829	3000 24420282.7863498 21546396.609553 22396133.4478632 24354757.5432646
4000 15885007.3790331 14862149.128297 15779386.8505434 16398477.2217771	4000 24806051.5958249 21724207.6024603 22833639.0003737 24851177.381006
5000 16395181.6858253 15325921.28968 16349067.3318834 17121477.9467033	5000 25200196.4470826 21775542.3622768 23288475.2425656 25362141.4330747
6000 16925885.1868496 15756038.2734542 16947865.9437025 17890656.1348181	6000 25602931.9645535 21828869.9814343 23602273.8296953 25888195.90402
7000 17477882.864003 16202609.6662755 17577607.888987 18756757.7632475	7000 26014478.3230779 21884217.939901 24034950.0390262 26429911.7283552
8000 18051936.8342391 16666369.9287637 18240242.625546 19807828.4670606	8000 26435061.3385923 21941614.9772341 24479657.6534625 26987885.8674385
9000 18648799.2440548 17148085.8309572 18949250.8100365 20960848.4764563	9000 26864912.5535521 22001091.1319927 24936857.3879532 27676633.2781433
10000 19269203.7841635 17648557.2140852 19721437.2539439 22213894.1159427	10000 27304269.3161567 22062677.7833652 25407032.4358228 28483910.6208224
11000 19913855.639357 18168617.6246843 20488093.5270641 23578338.268846	11000 27753374.8523528 22126407.6951249 25890689.7421189 29334282.5909009
12000 20583419.6757696 18709134.7859631 21298697.495973 25067114.7463267	12000 28212478.329481 22192315.0620344 26388361.3504598 30295166.8725142
13000 21278506.6576589 19271010.8649178 22156533.4421835 26694958.3230168	13000 28681834.9103201 22260435.5588283 26900605.8264698 31305952.5606367
14000 21999657.2799351 19855182.4862757 23065685.0170825 28478681.8686981	14000 29161705.7961582 22330806.3919128 27428009.7607131 32373789.3525184
15000 22747323.8028877 20462620.435748 24038659.7997629 30437494.6734696	15000 29652358.2573859 22403466.3539294 27971189.3537713 33534890.8992226
16000 23521849.0842701 21017980.6223662 25069360.1299463 32593365.2965459	16000 30154065.6499615 22478455.8813415 28530792.08573 34758548.5419134
17000 24323442.8239687 21584800.6314468 26161948.0598046 34971430.5044517	17000 30667107.4159415 22555817.1152138 29107498.471836 36049255.2761716
18000 25152154.8713313 22168300.1703285 27320912.8976128 37600448.4576199	18000 31191769.0661004 22635593.9653659 29702023.9054077 37411906.4893577
19000 26007845.4987874 22768706.195975 28551096.3518604 40513288.2568593	19000 31728342.1424794 22717832.1780935 30315120.5882102 38851842.9605663
20000 26890152.6220495 23386205.8462636 29857719.4583451 43747437.7521931	20000 32277124.1585107 22802579.4076676 30947579.5473949 40374899.1656761
21000 27798456.0516303 24020940.0280438 31246411.5460802 47345494.8738616	21000 32838418.5141474 22889885.2918326 31600232.7366964 41987457.6223772
22000 28731838.9973643 24672996.4279622 32723241.6332741 51355581.3582765	22000 33412534.3832088 22979801.5315455 32273955.2178294 43696510.1212472
23000 29689047.2214324 25342401.9289033 34315767.3786848 55831576.9598459	23000 33999786.569902 23072381.9752103 32969667.4158541 45509726.8178971
24000 30668446.4494211 26029114.4201937 36023191.3056771 60833010.8914641	24000 34600495.3312263 23167682.7076863 33688337.4396069 47435534.3107656
25000 31667978.9048022 26733013.9960962 37852819.8221197 66424357.9090415	25000 35214986.1616872 23265762.1443643 34325275.1701253 49483204.002528
26000 32685120.1286933 27453893.5445954 39815747.1061442 72673361.9735666	26000 35843589.5364547 23366681.1306303 34926684.2821589 51664867.6384848
27000 33716837.5786261 28191448.7370651 41924260.2743771 79647847.9798636	27000 36486640.6087873 23470503.0470591 35541095.7023644 54022633.8876143
28000 34759552.8566964 28945267.439087 44191987.3259225 87410292.4903159	28000 37144478.8572153 23577293.9207042 36168747.8045968 56539413.3117343
29000 35809109.7815234 29714818.5734565 46634067.1343217 96009250.366096	29000 37817447.6776259 23687122.5428829 36809874.1694768 59229194.588251
30000 36860750.864576 30499440.4782345 49267345.9992052 105466680.226466	30000 38505893.91503 23800060.5938819 37464702.2858759 62107453.7180827
31000 37909105.0456598 31298328.8156251 52110606.6448731 115760484.166802	31000 39210167.3294085 23916182.7750424 38133452.1093292 65191333.666371
32000 38948189.742284 32110524.1015876 55184837.4719118 126802511.586032	32000 39930619.9896344 24035566.9487237 38816334.4655625 68499846.931014
33000 39971430.3238514 32934898.9416715 58513552.5612003 138414286.773304	33000 40667605.5890597 24158294.2866776 39513549.2867874 72054103.7185944
34000 40971699.9810462 33770145.0760825 62123176.7230393 150306040.395598	34000 41421478.6759253 24284449.427413 40225283.6679544 75877568.534525
35000 41941382.5719289 34614760.3572094 66043515.2325338 162068721.062444	35000 42192593.7913238 24414120.6431756 40951709.7297876 79996348.024592
36000 42872460.3465594 35467035.8069632 70308335.4231395 173191418.248715	36000 42981304.5069988 24547400.0172174 41692982.2751691 84439512.7753602
37000 43756627.4570899 36325042.9309577 74956097.87569 183114133.751316	37000 43787962.3548245 24684383.6320876 42449236.225353 89239455.3986411
38000 44585428.8538895 37186621.5040247 80030889.6761766 191314354.242854	38000 44612915.6393689 24825171.7697363 43220583.8225885 94432286.4565597
39000 45350422.5913042 38049368.0895493 85583632.5999948 206332452.940002	39000 45456508.1245116 24969869.1242891 44024441.0936675 100058268.436748
40000 46043361.8036337 38910625.6168254 90094784.0333992 223936683.540848	40000 46319077.5846766 25118585.0284242 44902609.5728118 106162285.789198
41000 46656390.7919339 39767474.4193931 93294492.7914615 241944354.437884	41000 47200954.2108492 25271433.6943608 45801789.4719686 112794345.603659
42000 47182247.952945 40616725.2361232 96249908.2712857 259835087.226491	42000 48102458.8611981 25428534.4705599 46722291.8593565 120010098.304915
43000 47614466.8742062 41454914.7975557 98912261.9030585 276776088.872617	43000 49023901.1458189 25590012.1153275 47664402.8274381 127871360.037973
44000 47947566.0068415 42278304.7624022 101240233.037129 291593742.335739	44000 49965577.3348767 25755997.0886244 48628379.6819577 136446607.210758
45000 48177217.0750919 43082884.9293771 103201689.987598 307374754.621633	45000 50927768.0792682 25926625.8634952 49614446.8507547 145811397.636567
46000 48300382.8985248 43864381.8187792 104774340.599929 320578097.515943	46000 51910735.9328599 26102041.2586618 50622791.5138019 156048650.164432
47000 48315416.6168735 44618273.8809691 105945251.823749 328416273.349045	47000 52914722.6654208 26282392.793968 51653558.960677 167248683.48058
48000 48222116.3511091 45339814.7217462 106735406.401814 330650833.313219	48000 53939946.3555718 26467837.0705136 52706847.6873806 179508872.427697
49000 48021731.9453133 46024065.8059709 103326240.956432 327941232.613976	49000 54986598.2534502 26650034.9312744 53782704.2511585 192932724.113123
50000 47716923.3721829 46665940.0716845 101457858.409486 321708722.946499	50000 56054839.4033633 26831113.2402594 54881117.9098407 207854313.895662
51000 47311673.364354 47260257.7141929 100984907.344195 332892089.481619	51000 57144797.0175197 27016983.7096826 56002015.0812557 224639601.698981
52000 46811159.5620971 47801815.0409602 100195879.305097 367478212.750945	52000 58256560.5930083 27207795.7688516 57145253.6685542 243205438.259096
53000 46221593.6888492 47381050.7010654 99106456.7811539 410336966.175874	53000 59390177.7655891 27403705.7376111 58310617.3087948 263743725.042777
54000 45550036.7932414 46099033.5272591 97731883.1252146 463567650.817992	54000 60545649.8956031 27604877.2176647 59497809.6148985 286453657.294299
55000 44804200.3352042 44921474.8354954 96764095.128895 529262317.033117	55000 61722927.3834508 27811481.5113111 60706448.4949782 311533810.729525
56000 43992242.8466792 43832741.4966463 97485203.7146283 609115638.293531	56000 62921904.7146679 28023698.0698655 61936060.6479776 339169489.213088
57000 43122571.153155 42818492.9737117 97840493.3561801 703566624.122179	57000 64142415.2376975 28241714.9742581 63186076.3502922 369513559.543684
58000 42203653.8534275 41865941.7893734 97828006.419274 810233956.685183	58000 65384225.6810622 28465729.4505427 64455824.6643123 402658693.581507
59000 41243853.1096917 40963929.8587611 97454589.8027088 921701527.899872	59000 66647030.4208193 28695948.4233215 65744529.2162233 438598868.10803
60000 40251278.9926285 38976672.7992181 94914381.4062357 1023706671.76886	60000 67930445.5139915 28932589.1103918 67051304.7064336 477178460.804171
61000 39233668.8325832 36757678.9968955 91770460.9108745 1097401690.31187	61000 69234002.5191241 29175879.6622586 68375154.3310666 518028855.52995
62000 38198292.3890053 34739482.6654606 88641721.323741 1123379529.04203	62000 70557142.1312743 29426059.8505292 69714968.3063139 560495884.185077
63000 37151882.2630719 32906460.3645103 85553412.047612 1093181368.73272	63000 71899207.6655956 29683381.8096297 71069523.6982847 603567504.370846
64000 36100587.8953933 31310405.0508882 82291136.2162315 1015159278.96183	64000 73259438.4312522 29948110.8367495 72437485.7683491 645820149.03176
65000 35049950.7250881 29921798.4196718 77641605.8949346 908348817.201365	65000 74636963.0456744 30220526.2554504 73817411.046863 685412718.772963
66000 34004897.620706 28699434.8244154 72321324.3735843 792471010.780269	66000 76030792.7481091 30500922.3489669 75207752.34552 720164216.618313
67000 32969749.4890235 27595516.2352382 67724571.052624 681494684.642188	67000 77439814.7809771 30789609.3698915 76606865.9093589 747745314.692576
68000 31963690.9559777 26292117.6713331 63766586.9990514 585951026.713731	68000 78862785.9176305 31086914.6336911 78013020.8926685 765985883.29521
69000 31042016.2328146 25141710.2798165 60321486.0347593 507035678.622833	69000 80298326.2255842 31393183.7043473 79424411.3178287 773249508.803898
70000 30200490.2970306 24120336.4734364 57295094.3958145 441722307.674024	70000 81744913.1650214 31708781.6813737 80839170.6418701 768772766.33997
71000 29430438.347584 23208863.1728114 54615418.0553354 387547361.377753	71000 83200876.1331324 32034094.5985497 82255389.0118754 752849032.890837
72000 28724449.7828498 22391831.5666609 52226389.7573943 342643421.650807	72000 84664391.5753844 32369530.9459465 83671133.2373531 726780724.40248
73000 28076159.4021653 21656619.0106367 50083640.5387528 304926277.136698	73000 86133478.794852 32715523.3282226 85084469.4459025 692614596.537916
74000 27480072.7696217 20992820.818268 48151564.2146644 273041635.567506	74000 87605996.5998935 33072530.2737684 86493488.3189269 652758193.818047
75000 26931425.6997582 20391787.4380051 46401232.3461875 245912320.866655	75000 89079640.9383504 33441038.2111079 87896332.7285106 609603067.840827
76000 26426070.3535518 19846273.2841455 44808883.2415359 222681524.717556	76000 90551943.672632 33821563.6310575 89291227.5170908 565247370.718728
77000 25960382.267438 19350167.0239372 43354807.3057391 202665930.513697	77000 92020272.6540265 34214655.4555425 90676511.0810798 521350527.162379
78000 25531183.983666 18898282.118616 42022511.6301478 185318302.357778	78000 93481833.255864 34620897.6367367 92050668.3414439 479103120.777551
79000 25135681.9476657 18486192.504113 40798084.8948408 170198150.562405	79000 94933671.5231933 35040912.0133681 93412364.612113 439272273.407597
80000 24771414.084639 18110102.4862264 39669708.3146027 156948923.99006	80000 96372679.0909183 35475361.4547187 94760479.8148879 403233677.994413
81000 24436206.0315015 17766742.8516088 38627274.6344074 145280331.23567	81000 97795600.0123547 35924953.3271021 96094142.441054 371862656.922521
82000 24128134.4299652 17453287.2693224 37662088.1366598 134954633.836222	82000 99199039.6254738 36390443.3225595 97412762.6288053 343040768.562658
83000 23845496.0166074 17167284.5458305 36786608.2683303 125775994.272281	83000 100579475.564322 36872639.6952794 98716063.7148196 316694040.167072
84000 23586781.5012784 16906603.3772813 36251948.3489237 117582167.734988	84000 101933270.997977 37372407.9579878 100004111.630141 292686267.435961
85000 23350653.4244649 16669387.037068 35753079.7085913 110237992.981974	85000 103256690.148836 37890676.0984545 101277341.546059 270849106.131942
86000 23135927.340742 16454016.0262201 35287539.2951596 103630267.370079	86000 104545916.106043 38428440.3855454 102536581.234936 251001984.506249
87000 22941555.7992215 16259077.1562744 34853130.8537868 97663690.5553326	87000 105797070.908787 38986771.8452051 103783070.692523 232964602.573246
88000 22766614.6904706 16083337.868941 34447891.979621 92257636.7687732	88000 107006237.828496 39566823.4997154 105018477.669678 216564293.676176
89000 22610291.6083715 15925724.8525418 34070066.1776275 87343572.5444064	89000 108169485.729407 40169838.4789743 106244908.878623 201639967.317389
90000 22471875.9391637 15785306.2122733 33718079.0761877 82862979.7559248	90000 109282895.3346 40797159.1308966 107464916.767235 188043861.211105
91000 22350750.4417339 15661276.6046005 33390518.1058462 78765676.2763784	91000 110342587.170668 41450237.2800101 108681501.888693 175715930.902999
92000 22246384.1256675 15552944.8663783 33086115.0845412 75008451.1434367	92000 111344750.910232 42130645.8097313 109898111.027301 168300414.794974
93000 22158326.2686257 15459723.7646187 32803731.2538225 71553949.7706705	93000 112285675.779202 42840091.7756781 108571401.46676 162911313.944984
94000 22086201.4438249 15381121.5691715 32542344.3929882 68522308.6784035	94000 113161781.64699 43580431.2960293 105152815.454065 157518721.331185
95000 22029705.4530109 15316735.2124894 32301037.7043288 67295312.8836394	95000 113969650.374588 44353686.5120262 101927088.755255 152154868.14542
96000 21988602.0813229 15266244.8515647 32078990.2162557 66129381.1951065	96000 114706056.959652 45162064.9693632 98873959.8447289 146847812.636121
97000 21962720.6086352 15229409.6897532 31875468.4946919 65018463.4951598	97000 115367999.991175 46007981.8421761 95975583.2425298 141649368.125053
98000 21951954.0280155 15206064.9526551 31689819.4888033 63957261.3749806	98000 115952730.910732 46894085.5091616 95015724.5983696 137758892.857933
99000 21956257.9363996 15196119.944255 31521464.3665623 62941122.173722	99000 116457781.573977 47823287.1007027 95276521.0744873 135304644.339565
1e+05 21975650.0759348 15199557.1385558 31369893.2200399 61965949.7364856	1e+05 116880989.615959 48798794.772848 93554573.5608291 135784715.376087
101000 22010210.5171285 15216432.2892671 31234660.5407162 61028128.97234	101000 117220521.147526 49824153.6367023 92143252.7206206 138128304.00864
102000 22060082.4873373 15246875.5668765 31115381.3822914 60124461.8496097	102000 117474890.347428 50576370.0367165 91101686.174513 140650443.39761
103000 22125473.8606488 15291093.759797 31011728.1431003 59252112.9075569	103000 117642975.565248 51311498.9242561 90418532.5335482 143340879.569452
104000 22206659.3382209 15349373.6054254 30923427.9128148 58408562.7163307	104000 117724031.612709 52079161.7522662 87152906.5627102 146199067.360749
105000 22303983.3620777 15422086.3491842 30850260.3390839 57591567.999861	105000 117717697.993614 52880361.4579325 83384275.4780145 149224801.904669
106000 22417863.8206622 15509693.6664669 30792055.9794603 57071721.3659368	106000 117624002.903494 53704268.6372672 79944689.1294195 152418093.101405
107000 22548796.62165 15612755.1257145 30748695.1127071 56573797.8949731	107000 117443362.916348 54424360.002096 76825520.5910654 155991739.079103
108000 22697361.2272369 15731937.4229143 30720106.9916174 56079971.8082696	108000 117176578.364979 54221395.8639681 75048619.2286749 160951219.75491
109000 22864227.2700674 15868025.6815736 30706269.5270572 55590259.6579193	109000 116824824.510248 53148444.5744232 74752607.7008176 166096224.672962
110000 23050162.3950826 16021937.1915215 30707209.4002578 55104682.5323232	110000 116389638.680304 51998678.2907015 74628749.1393641 171431921.900452
111000 23256041.5049399 16194738.0598062 30031667.1295693 54623265.2702763	111000 115872903.640629 50932735.6831382 74667106.0385692 176963221.762014
112000 23482857.6257187 16387663.3742841 29361996.4116352 54146035.7656346	112000 115277120.160395 49942578.0031604 74860023.3700509 182694703.880675
113000 23731734.6571574 16602141.6444827 28906064.2648896 53673024.3533252	113000 114647353.981079 49021200.9878531 75201798.6264635 188630536.882718
114000 24003942.3299562 16839824.4975888 28527008.8247495 53204263.2685049	114000 114014894.822598 48162474.4497915 74559090.1684941 194774391.146675
