,CHROM,BIN_START,BIN_END,intron_East_Window_pi,codon_1_East_Window_pi,codon_2_East_Window_pi,codon_3_East_Window_pi,codon_4D_East_Window_pi,intergenic_final_East_Window_pi,intron_West_Window_pi,codon_1_West_Window_pi,codon_2_West_Window_pi,codon_3_West_Window_pi,codon_4D_West_Window_pi,intergenic_final_West_Window_pi
0,DPSCF300120,20001,30000,0.02561359214659685,0.004790676122931443,0.007236046808510637,0.010750873758865246,0.01584669353233831,0.019192833717219426,0.02398582781413611,0.005898010401891253,0.005732114420803782,0.013885497635933813,0.019298554228855725,0.019543839864021247
1,DPSCF300120,30001,40000,0.020378685371428548,0.0,,0.008597890476190476,0.004201682352941177,0.019584510353656697,0.020761912199999972,0.00041050952380952384,,0.00870712023809524,0.0046617588235294116,0.018080383741398712
2,DPSCF300120,40001,50000,0.0022516132757912045,0.0015632500000000002,,0.009108947727272727,0.004559272340425533,,0.0022725200575421287,0.00039185,,0.009624376136363636,0.0050327595744680854,
3,DPSCF300120,50001,60000,0.006374763148479432,0.007861354545454545,0.00040584431818181817,,,0.016451491583592145,0.005329933333333332,0.008404145454545455,0.0025779619318181822,,,0.016239724677234887
4,DPSCF300120,60001,70000,0.01517422120918201,0.002132751123595506,0.003507520224719101,0.003931098876404493,0.0056935836956521725,0.017404648588537294,0.014638177400581931,0.0035651943820224725,0.004781909269662921,0.003995123033707864,0.006799238043478261,0.016662142651839257
5,DPSCF300120,70001,80000,0.010812434560000072,,,,,,0.011300186270000085,,,,,
6,DPSCF300120,80001,90000,0.02456191498470948,0.003136201612903225,,0.0023041483870967746,0.0017421609756097564,0.012790579204301156,0.02134753027522936,0.0032833774193548387,,0.003307770967741936,0.002102609756097561,0.012697610247311924
7,DPSCF300120,100001,110000,0.01896796731150794,0.0057835202127659545,0.0048969936170212775,0.012903859574468084,0.01313042385321101,0.013738504754856615,0.018856718105158685,0.004102795212765958,0.004891173936170213,0.008530595212765956,0.008669264220183484,0.014198841887141515
8,DPSCF300120,110001,120000,0.023520581778265628,0.003386245090909091,0.0005002400000000001,0.015036074181818182,0.027621548031496062,0.015984550169998734,0.02363796520307352,0.002628831272727273,0.000501568,0.014219878181818187,0.026284833858267714,0.01440132861417118
9,DPSCF300120,140001,150000,0.015920574831460668,0.0045075307692307685,0.009991861923076923,0.009391536153846157,0.009986268702290076,0.013879295972986549,0.0157330604494382,0.004523249038461539,0.012187636153846151,0.010057475192307692,0.012909680534351145,0.01172826764632319
10,DPSCF300120,160001,170000,0.011237031249999998,0.00824227336683417,0.0017016331658291455,0.009691313567839196,0.006424793406593406,0.01405145561366425,0.012513674038461537,0.013072018592964824,0.0016051226130653266,0.011621936683417084,0.007751482417582419,0.011826188082786269
11,DPSCF300120,170001,180000,0.007384508268733856,0.0051215603305785114,0.0024596615702479336,0.004749878925619832,0.003901446464646464,0.015568245653105004,0.01728085439276486,0.004513457024793386,0.003943497520661156,0.009028167355371904,0.006892887542087541,0.01517523500356891
12,DPSCF300120,180001,190000,0.017006407817929173,0.008845898579545463,0.002068677130681818,0.009319385795454552,0.010253432484076432,,0.01733355925990276,0.009002233948863632,0.00285079403409091,0.011332275923295434,0.01319225923566878,
